id,pollster,start,end,n,moe,source,section,lula,flavio,caiado,renan,zema,marcal,cury,samara,pimenta,dias,costa,grassi,clariana
nexus-btg-pactual-2026-08-02,Nexus/BTG Pactual,2026-07-31,2026-08-02,2002,2,,Agosto,41,37,5,4,3,,1,1,0,0,0,,
genial-quaest-2026-08-03,Genial/Quaest,2026-07-31,2026-08-03,2004,2,,Agosto,39,30,4,4,2,,1,1,,0,0,,0
meio-ideia-2026-08-03,Meio/Ideia,2026-07-31,2026-08-03,1500,2.5,,Agosto,43,35,5.7,4.7,2.6,,1.7,0.3,0.1,0.1,0.2,,
apex-futura-2026-08-07,Apex/Futura,2026-08-03,2026-08-07,2000,2.2,,Agosto,38.8,34.1,5.9,3.6,3.6,,1.2,0.7,0.8,0,0.1,,
palver-2026-08-07,Palver,2026-08-03,2026-08-07,5000,3,,Agosto,44,40,2,10,1,,0,1,0,0,,,
cnt-mda-2026-08-09,CNT/MDA,2026-08-05,2026-08-09,2002,2.2,,Agosto,42.4,28.7,4,2.8,3.3,,1.2,1.6,0.9,,,,
nexus-btg-pactual-2026-08-09,Nexus/BTG Pactual,2026-08-07,2026-08-09,2001,2,,Agosto,40,35,5,4,3,,1,2,0,0,0,0,
gerp-2026-08-10,Gerp,2026-08-06,2026-08-10,2400,2,,Agosto,38,38,4,5,2,,1,0,0,0,0,,
poderdata-2026-08-12,PoderData,2026-08-09,2026-08-12,2400,2,,Agosto,41,35,4,4,3,,3,,1,,,,1
genial-quaest-2026-08-13,Genial/Quaest,2026-08-10,2026-08-13,2004,2,,Agosto,38,31,4,4,2,,2,1,0,0,0,0,0
nexus-btg-pactual-2026-08-16,Nexus/BTG Pactual,2026-08-14,2026-08-16,2003,2,,Agosto,41,36,5,4,4,,1,1,0,0,0,0,0
datafolha-2026-08-20,Datafolha,2026-08-18,2026-08-20,2058,2,,Agosto,39,32,5,4,3,2,2,1,1,0,1,1,0
verita-2026-08-20,Veritá,2026-08-16,2026-08-20,3840,2,,Agosto,39.3,39.1,3.3,3.8,1.3,5.2,2.2,0.4,0.1,0.4,0.1,,0.8
indexa-2026-08-23,Indexa,2026-08-20,2026-08-23,2000,2.2,,Agosto,39,33,5,4,1,2,0,0,0,0,0,0,0
nexus-btg-pactual-2026-08-23,Nexus/BTG Pactual,2026-08-21,2026-08-23,2006,2,,Agosto,40,34,5,3,2,4,2,1,1,0,0,0,1
gerp-2026-08-25,Gerp,2026-08-21,2026-08-25,2400,2,,Agosto,37,38,3,3,1,4,1,0,0,,0,0,0
poderdata-2026-08-26,PoderData,2026-08-23,2026-08-26,2400,2,,Agosto,38,35,4,4,2,3,4,1,0,2,1,0,0
vox-brasil-2026-08-27,Vox Brasil,2026-08-25,2026-08-27,2100,2.15,,Agosto,37.1,34.8,5,3.3,2.8,2,2.6,0.1,0.2,0.1,0.5,0.4,0.8
atlasintel-2026-08-30,AtlasIntel,2026-08-25,2026-08-30,5014,2,,Agosto,43.4,33.7,3.3,7.6,1,1.9,7.8,0.9,0.1,,,0.1,
nexus-btg-pactual-2026-08-30,Nexus/BTG Pactual,2026-08-28,2026-08-30,2005,2,,Agosto,37,31,6,3,2,3,11,1,0,0,0,1,0
real-time-big-data-2026-08-31,Real Time Big Data,2026-08-27,2026-08-31,2000,2,,Agosto,38,29,4,6,2,3,10,1,1,1,1,1,1
apex-futura-2026-09-01,Apex/Futura,2026-08-27,2026-09-01,2000,2.2,https://noticias.uol.com.br/eleicoes/2026/09/03/futuraapex-pesquisa-presidente-primeiro-segundo-turno.ghtm,Setembro,38.7,33.6,3.5,2.8,1.6,2.7,9.9,0.4,0.3,0.1,,0.3,
genial-quaest-2026-09-01,Genial/Quaest,2026-08-30,2026-09-01,2004,2,https://www.gazetadopovo.com.br/eleicoes/2026/pesquisa-eleitoral-2026/quaest-presidente-setembro-2026/,Setembro,37,30,1,3,1,1,10,0,0,0,0,0,0
datafolha-2026-09-02,Datafolha,2026-09-01,2026-09-02,2002,2,https://g1.globo.com/politica/eleicoes/2026/pesquisa-eleitoral/noticia/2026/09/03/datafolha-2o-turno-presidente-3-setembro.ghtml,Setembro,38,33,4,3,2,,8,1,1,2,1,0,0
poderdata-2026-09-02,PoderData,2026-08-30,2026-09-02,3000,1.8,https://www.poder360.com.br/poderdata/flavio-tem-45-e-lula-registra-44-no-2o-turno-diz-poderdata-aya/,Setembro,37,34,2,3,1,2,10,1,1,2,1,0,1
